Game,Company,Created By,Created,Company Domain,Channels,Notes (old),Contacted,,Campaign Preview,SQL,Score,ICP,Fundraising,Team,NFT,NFT Marketplace/Contract URL,Coin,ERC20 contract URL,Blockchain,Region,Uses competitor,Project Stage,Company Founded,Roadmap URL,Twitter Created,Twitter Followers,Discord Members,Game Domain,Youtube Video URL,Twitter Tweet URL,Discord Invite URL,Discord Server ID,Q1 - Type,Q1 - Points,Q1 - Title,Q1 - Description,Q2 - Type,Q2 - Points,Q2 - Title,Q2 - Description,Q3 - Type,Q3 - Points,Q3 - Title,Q3 - Description,Q4 - Type,Q4 - Points,Q4 - Title,Q4 - Description,Q5 - Type,Q5 - Points,Q5 - Title,Q5 - Description
Iskra,Iskra,Prasanth,6/8/2023,iskra.world,email,,,,,Yes,9,Available,Raised funds,>10,Using,https://market.iskra.world/,Using,https://scope.klaytn.com/token/0x17d2628d30f8e9e966c9ba831c9b9b01ea8ea75c?tabId=tokenTransfer,Klaytn,Asia,Galxe,,,,,"86,900","114,345",https://iskra.world/,,,,,Custom,250,Pre register to Norma in Metaland on Google Play https://play.google.com/store/apps/details?id=com.grampus.cookingnormametaland&pli=1,Pre register to Norma in Metaland on Google Play https://play.google.com/store/apps/details?id=com.grampus.cookingnormametaland&pli=1,Custom,100,Watch Our Video Trailer,Points on completion of watching our Google Play trailer Link: https://www.youtube.com/watch?v=Cuft3IQ_mO8,Custom,75,Apprentice Chef,Forfill 250 orders for customers!,Custom,150,Master Chef (similar reward style to Xbox Achievement linked for game),Forfill 500 orders for customers!,,500,Flavor Wizard,Mastered the art of seasoning (50 dishes)
JustBet,JustBet,Prasanth,6/8/2023,just.bet,email,,,,,No,7,Available,No funds raised,Unknown,Not using,,Using,https://arbiscan.io/token/0xD77B108d4f6cefaa0Cae9506A934e825BEccA46E,Arbitrum,Unknown,Galxe,,,,,"47,500","5,971",,,,,,Daily,500,High Roller Hero,Struck gold in video poker and won a whopping $500! You're rolling in virtual riches now!,Daily,1000,Kingpin of Royal Flushes,"Won a round with a royal flush pair in video poker, the ultimate hand of royalty!",Daily,200,Win a 10x multiplier on Moon game,Win using a 10x multiplier on this game https://www.youtube.com/watch?v=HJ5nvD_Ufvo,Daily,100,Win a game of roulette,Proved your luck and skill by winning a game of roulette! ,1000,The JustBet Boss,"Reached an impressive milestone by achieving a total betting volume of $25,000! Your fearless wagers and strategic moves have elevated you to high roller status on our Discord.",
Hippo Dash,Gameta,Prasanth,6/8/2023,gametamashii.com,Discord Ticket,,,,,Yes,9,Available,Raised funds,>10,Using,https://opensea.io/collection/gameta-dash-hippo-club,Unknown,,BNB,Unknown,Unknown,,,,,"37,000","84,301",https://hippo-dash.com/,,,,,Social,,,,Social,,,,Social,,,,Social,,,,,,,
PLANET IX,Nibiru,Prasanth,6/9/2023,nibiru2012.it,Email (partnership) PLUS LInkedIn to Philip and Christoph,,Scheduled,,https://dashboard.thx.network/preview/64ca137d428d802ae432f95f,Yes,12,Available,Raised funds,>10,Using,https://marketplace.planetix.com/connect,Using,https://polygonscan.com/token/0xb2435253c71fca27be41206eb2793e44e1df6b6d,Polygon,North America,Galxe,,,,,"31,000","72,000",https://planetix.com/,https://www.youtube.com/watch?v=F58OURgrsac,https://twitter.com/Planetix0/status/1685862868137172994,https://discord.com/invite/planetix,842087097543163974,Custom,500,Own your own pick NFT,One time reward for metaverse land owners aka Picks,Custom,250,Trade in game assets on our marketplace,Trade in game assets on our marketplace,Custom,500,Build a facility on your pick,Build a facility on your pick,Custom,100,Watch our intro video,https://www.youtube.com/watch?v=F58OURgrsac,Custom,500,Supporting the DAO,Lock up $1000 worth of IXT by staking
Atomichub,Atomichub,Prasanth,6/9/2023,atomichub.io,Form.,NFT Marketplace.,,,,No,9,Available,No funds raised,>10,Not using,,Not using yet,,WAX,Europe,Unknown,,,,,"51,300","13,495",,,,,,,250,Buy a Funko NFT on the Atomichub marketplace!,Rewarded for buying an NFT on the Atomichub marketplace!,,50,Join our Discord,discord.gg/atomichub,,,,,,,,,,,,
AlterVerse,AlterVerse,Prasanth,6/9/2023,alterverse.com,DM CMO in TG or Discord,,Scheduled,,https://dashboard.thx.network/preview/64ca138b428d802ae432f988,Yes,10,Available,Raised funds,>10,Using,https://opensea.io/collection/alterverse,Unknown,,Polygon,North America,Galxe,,,,,"55,600","7,500",https://www.alterverse.com/,https://www.youtube.com/watch?v=WjP0CVEg90E,https://twitter.com/AlterVerseGame/status/1682502280808108032,https://discord.com/invite/yf7bCzz,343040134238961666,Custom,250,Join A Beta Weekend,Join one of the Sky City Beta playtest weekends!,Custom,200,sky shopper,Make a purchause in sky city,Daily,50,Free points for you,Free points daily exclusively for AlterVerse Lifetime Citizenship Holders ,Custom,50,New partnership,Visit a new partners storefront in sky city,Social,25,Bigger every day,Retweet our latest partnership
Tap Fantasy,Tap Fantasy,Prasanth,6/9/2023,tapfantasy.io,email,Closed,,,,No,10,Available,No funds raised,Unknown,Unknown,,Unknown,,EVM chain,Unknown,Blockheads,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Secondlive,Secondlive,Prasanth,6/9/2023,secondlive.world,email,,,,,Yes,9,Available,Raised funds,Unknown,Using,https://secondlive.world/marketplace,Not using yet,,BNB,Unknown,Galxe,,,,,"398,200","147,488",https://secondlive.world/,https://www.youtube.com/watch?v=RIEaV5vs074,https://twitter.com/SecondLiveReal/status/1683811945382830080,,,Custom,50,Join a secondlive campaign/event,Points for joining a featured secondlive campaign/event,Custom,100,Staking assets,Stake your BEAN and earn LIVE,Custom,125,Marketplace shopper,Spend a total of 0.25 BNB on the Secondlive markeplace,Referral,250,friends for life,refer a friend to download secondlive and join a spaces with you,Custom,125,Have your say!,Vote on a DAO proposal
Ashfall,Liithos,Prasanth,6/9/2023,liithos.com,"DM in Discord , New game with good team under development",Closed,,,,No,3,Available,No funds raised,>10,Unknown,,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MotoDex,Openbisea,Prasanth,6/9/2023,openbisea.io,Founder email & TG,,,,,No,5,Available,No funds raised,>10,Using,https://app.openbisea.com/metaverse?game=0&chain=aurora,Using,https://bscscan.com/token/0x490DbA6180b089d8E36eBb1E56a33F1aE9B96b87,BNB,Europe,Galxe,,,,,"7,100","5,320",,,,,,,,,,,,,,,,,,,,,,,,,
